DATA;PARTICIPANTE;SALDO;ACUMULADO
04/01/2010;Financial Institutions;176;176
04/01/2010;Banks;-2965;-2965
04/01/2010;Brokers & Dealers;-814;-814
04/01/2010;Other;3955;3955
04/01/2010;Institutional Investors;-33510;-33510
04/01/2010;Domestic;-33510;-33510
04/01/2010;Nonresident Investors;35988;35988
04/01/2010;Nonresident investors - RES.2689;35988;35988
04/01/2010;Corporations;-1000;-1000
04/01/2010;Individuals;-1654;-1654
04/01/2010;Total;0;0
05/01/2010;Financial Institutions;-817;-641
05/01/2010;Banks;-3725;-6690
05/01/2010;Brokers & Dealers;-967;-1781
05/01/2010;Other;3875;7830
05/01/2010;Institutional Investors;-36389;-69899
05/01/2010;Domestic;-36389;-69899
05/01/2010;Nonresident Investors;40130;76118
05/01/2010;Nonresident investors - RES.2689;40130;76118
05/01/2010;Corporations;-805;-1805
05/01/2010;Individuals;-2119;-3773
05/01/2010;Total;0;0
06/01/2010;Financial Institutions;-1802;-2443
06/01/2010;Banks;-4580;-11270
06/01/2010;Brokers & Dealers;-1047;-2828
06/01/2010;Other;3825;11655
06/01/2010;Institutional Investors;-40238;-110137
06/01/2010;Domestic;-40238;-110137
06/01/2010;Nonresident Investors;45114;121232
06/01/2010;Nonresident investors - RES.2689;45114;121232
06/01/2010;Corporations;-970;-2775
06/01/2010;Individuals;-2104;-5877
06/01/2010;Total;0;0
07/01/2010;Financial Institutions;-2676;-5119
07/01/2010;Banks;-5615;-16885
07/01/2010;Brokers & Dealers;-981;-3809
07/01/2010;Other;3920;15575
07/01/2010;Institutional Investors;-40265;-150402
07/01/2010;Domestic;-40265;-150402
07/01/2010;Nonresident Investors;45147;166379
07/01/2010;Nonresident investors - RES.2689;45147;166379
07/01/2010;Corporations;-827;-3602
07/01/2010;Individuals;-1379;-7256
07/01/2010;Total;0;0
08/01/2010;Financial Institutions;-909;-6028
08/01/2010;Banks;-3925;-20810
08/01/2010;Brokers & Dealers;-864;-4673
08/01/2010;Other;3880;19455
08/01/2010;Institutional Investors;-40846;-191248
08/01/2010;Domestic;-40846;-191248
08/01/2010;Nonresident Investors;43830;210209
08/01/2010;Nonresident investors - RES.2689;43830;210209
08/01/2010;Corporations;-746;-4348
08/01/2010;Individuals;-1329;-8585
08/01/2010;Total;0;0
